,Diputado,Anio,Doc,Folio,Fecha,Asesor,Detalle,Monto
18,René Alinco Bustos,2020,,6376,01 feb 2020,MARÍA JOSÉ ROJAS ROJAS,Diagnostico y propuesta legislativa para la regularización de la industria salmonera sobre áreas de manejo en la región de Aysen,2060000
19,René Alinco Bustos,2020,,,,RICARDO ENRIQUE CARVAJAL CONTRERAS,"Asesorar con estudio de condiciones de habitalidaden la región de aysen y ver demanda de viviendas en alturas , orientación y apoyos en presentación de proyectos de ley que permitan mejorar las condiciones de habitabilidad de aysen",2060000
20,René Alinco Bustos,2020,,,,RICARDO ENRIQUE CARVAJAL CONTRERAS,Asesoría en materias de ley de desarrollo urbano para la Region de aysen respecto a factibilidades para el desarrollo de inversión futura del estado que busquen soluciones habitacionales para los habitantes de la Region de aysen,2060000
21,René Alinco Bustos,2019,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"Entregar insumos escritos y/o de otro tipo al diputado para la discusión parlamentaria en materias contingentes y/o programadas para el periodo , dando énfasis en apoyo a la elaboración de proyectos de ley del diputado como: 1.- Regulación del trabajo de atendedores de estaciones de servicio ( bencineras ) 2- Tarifado Nacional del Trabajo en obras de construcción y derechos laborales de los trabajadores 3.- Defensoria jurídica de empleados públicos",3090000
22,René Alinco Bustos,2019,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"ORIENTACIONES E INFORMES PARA EL TRABAJO EN COMISIONES , DE SALA O EN LA PREPARACIÓN DE PROYECTOS DE LEY , DE MANERA PRESENCIAL, POR DOCUMENTOS O TECNOLOGÍAS DE COMUNICACIÓN, EN DIVERSAS MATERIAS QUE EL DIPUTADO SOLICITE. ENFATIZANDO EN PROPUESTAS PARA PROYECTO DE LEY DE SUBSIDIOS PARA PERSONAS QUE CONTRAEN MATRIMONIO CON BENEFICIARIOS QUE CONTRAEN MATRIMONIO POR SEGUNDA VEZ.",1030000
23,René Alinco Bustos,2019,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"ORIENTACIONES EN PROPUESTAS DE INTERVENCIÓN EN SALA O COMISIONES ENTREGANDO INSUMOS PARA LA PRESENTACIÓN DE PROYECTOS DE LEY O IDEAS EN SALA, DE MANERA DIGITAL O POR MEDIO DE INFORMES ESCRITOS EN ESPECIAL EN PROYECTO DE LEY A PRESENTAR QUE DICE RELACIÓN CON PRE Y POST NATAL UNIVERSAL EN DIRECCIÓN DE LA EQUIDAD DE GÉNERO.",1030000
24,René Alinco Bustos,2019,,6172,01 jan 2019,RONALD BENJAMÍN GALLARDO DUARHTT,"Orientaciones en propuestas de intervención en sala o comisiones entregando insumos para la presentación de proyectos de ley o ideas en sala , de manera digital , telefónica o por medio de informes escritos en especial en proyecto de ley a presentar que dice relación con derechos de autor y músicos regionales , no reconocidos por autoridades y estudio de caminos y distancias de la región de Aysén para buscar por medio de normativas incentivar la inversión en capacidad de caminos y conexión vial",2060000
25,René Alinco Bustos,2019,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"Análisis técnico , social y político de los los compromisos de las autoridades evaluando los avances , de cada una de las autoridades regionales y evaluar los avances y temas pendientes en la región de aysen. Análisis y opinión de la elección de Gobernadores Regionales y sus implicancias para la región de Aysen con enfoque en descentralizar las políticas publicas. Análisis y diagnostico de necesidades de la región de Aysen y las gestiones realizadas con las autoridades regionales y nacionales y acciones para el desarrollo de la Región por parte del equipo parlamentario y el parlamentario",3090000
26,René Alinco Bustos,2019,,6275,15 may 2019,RONALD BENJAMÍN GALLARDO DUARHTT,análisis de la crisis social y de demandas de la sociedad y como estas pueden ser implementadas y aportar a las discusión de la sociedad chilena,2060000
27,René Alinco Bustos,2018,,,,ANDRÉS SALVADOR SILVA LÓPEZ,"recopilación de iniciativas legislativas del parlamentario en periodos anteriores, identificando iniciativas que sirvan de base o sustento para generar nuevos proyectos, o que puedan ser reactivada su tramitación legislativa. Así mismo, preparar o elaborar un proyecto de ley que sancione actos de corrupción.",700000
28,René Alinco Bustos,2018,,5748,11 mar 2018,ANDRÉS SALVADOR SILVA LÓPEZ,"Seguimiento de proyectos ley, preparación de mociones, oficios, proyectos de resolución de conformidad a las solicitudes que vaya realizando el parlamentario.",1000000
29,René Alinco Bustos,2018,,,,CRISTIAN VILCHES ESCOBAR,"seguimiento de proyectos de ley, preparacion de mociones y/o oficio y/o proyectos de resolucion y/o minutas",1000000
30,René Alinco Bustos,2018,,5835,01 may 2018,CRISTIAN VILCHES ESCOBAR,"SEGUIMIENTO DE PROYECTOS DE LEY, PREPARACIÓN DE MOCIONES Y/O OFICIO Y/O PROYECTOS DE RESOLUCIÓN Y/O MINUTAS.",1000000
31,René Alinco Bustos,2018,,,,MARÍA JOSÉ ARREDONDO JIRÓN,"Elaboración de propuesta de proyecto Aysen sin IVA Capítulo 1: Importancia económica de la región Estructura impositiva de la región Recaudación tributaria en la región Capítulo 2: Experiencias internacionales similares a la propuesta “Aysen sin IVA” Experiencias internacionales, objetivos y consecuencias de políticas impositivas similares a “Aysen sin IVA”",2000000
32,René Alinco Bustos,2018,,5877,01 jun 2018,MARÍA JOSÉ ARREDONDO JIRÓN,"ASESORÍA Y DISEÑO COMUNICACIONAL PROYECTO DE LEY AYSEN SIN IVA, PLAN DE MEDIOS Y ACOMPAÑAMIENTO DE PROYECTO DE LEY.",2000000
33,René Alinco Bustos,2018,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"ASESORAR Y ENTREGA DE INSUMOS DE INVESTIGACIÓN QUE REPRESENTEN LA OPINIÓN DE LA SOCIEDAD EN SU CONJUNTO Y EN ESPECIAL DE MUJERES TRABAJADORAS JEFAS DE HOGAR, CON O SIN HIJOS, EN TORNO A LAS PROPUESTAS DE LEY DE TRABAJO REALIZADO EN TURNOS NOCTURNOS. ES NECESARIO GENERAR UN ANÁLISIS Y DISCUSIÓN EN TORNO AL MOMENTO ACTUAL Y EL ESTADO SITUACIONAL ESPERADO.",2000000
34,Sebastián Álvarez Ramírez,2021,,,,ARNALDO RICARDO ARANCIBIA RAMOGNINI,ZONA DE INTERES TURISTICO: CONFLICTO ENTRE BIODIVERSIDAD Y ENERGIA HIDRICA,1000000
35,Sebastián Álvarez Ramírez,2020,,,,ARNALDO RICARDO ARANCIBIA RAMOGNINI,Análisis comparativo de Políticas de gestión en turismo de los Países que albergan los 10 Parques Naturales mas importantes del mundo respecto a la Política de Gestión Turística en Chile y su proyección en el Parque nacional Villarrica,1000000
36,Sebastián Álvarez Ramírez,2020,,6353,01 jan 2020,JUAN PABLO PUIG RENDIC,"Análisis prospectivo de los efectos económicos para la industria del turismo de chile y propuestas y recomendaciones de políticas públicas, protocolos y leyes necesarias para lograr su reactivación con énfasis en la región de la Araucanía.",1000000
37,Sebastián Álvarez Ramírez,2019,,,,JUAN PABLO PUIG RENDIC,"elaboración de Estudio para determinar el impacto del ""Mercado informal""de alojamiento turístico en la industria formal del turismo en la región de la Araucanía.",1000000
38,Sebastián Álvarez Ramírez,2019,,6256,01 apr 2019,JUAN PABLO PUIG RENDIC,"Elaboración de Estudio para determinar la injerencia de las plataformas digitales en la venta y promoción de las empresas de alojamiento turístico, en la región de la Araucanía",1000000
39,Sebastián Álvarez Ramírez,2019,,,,JUAN PABLO PUIG RENDIC,Diagnóstico de la Situación actual en Chile respecto de la Oferta de Alimentos y Bebidas para las personas Celiacas en el ámbito de los hoteles y restaurantes,1000000
40,Sebastián Álvarez Ramírez,2019,,6277,01 may 2019,ARNALDO RICARDO ARANCIBIA RAMOGNINI,ASESORÍA Y ANÁLISIS SOBRE LA SITUACIÓN DE PATENTES IMPAGAS DE DERECHO DE APROVECHAMIENTO DE AGUAS Y RECOMENDACIONES.,1000000
41,Sebastián Álvarez Ramírez,2018,,,,MARIA DEL PILAR CANALES ERRAZURIZ,LEVANTAMIENTO DE LA PROBLEMÁTICA DE DESARROLLO SOCIAL COMUNA DE VILLARICA.,500000
42,Sebastián Álvarez Ramírez,2018,,5974,22 jun 2018,PABLO ALEJANDRO HEUSER SOMMER,"SITUACIÓN ACTUAL DE LAS ACTIVIDADES DE TURISMO DE MONTAÑA DESARROLLADAS EN CHILE, RIESGOS ASOCIADOS, SEGUROS QUE CUBREN DICHOS RIESGOS Y LOS VACIOS RELACIONADOS A ELLO EN NUESTRO PAÍS. A SU VEZ, HACER NOTAR LA NECESIDAD DE GENERAR UN CUERPO LEGAL QUE REGULE EL GUIADO DE MONTAÑA, COMO ASÍ TAMBIÉN, ESTABLECER DE MANERA CLARA QUIENES PUEDEN SER GUIAS PROFESIONALES DE MONTAÑA Y QUIENES NO CUMPLEN CON LOS REQUISITOS MINIMOS PARA ELLO, EN RELACIÓN A LOS ESTÁNDARES INTERNACIONALES QUE DICHOS PROCESOS FORMATIVOS TIENEN EN EL PRIMER MUNDO. PROPONER LAS BASES PARA ESTE FUTURO MARCO REGULATORIO DEL GUIADO DE MONTAÑA.",500000
43,Jenny Álvarez Vera,2018,,,,PAULINA GÓMEZ BARBOZA,"""NORMAS SOBRE LA PENA DE MUERTE EN CHILE""",700000
44,Jenny Álvarez Vera,2018,,5659,11 mar 2018,PAULINA GÓMEZ BARBOZA,"MINUTA SOBRE ALTERNATIVAS DE SANCION PARA EL TRATAMIENTO DE CASOS GRAVES DE MALTRATO Y MUERTE INFANTIL POR PARTE DE SUS PADRES, PADRASTROS O CONVIVIENTES DE LOS PADRES.",1000000
45,Jenny Álvarez Vera,2018,,,,PAULINA GÓMEZ BARBOZA,ANÁLISIS DEL PROYECTO DE LEY QUE MODERNIZA Y FORTALECE EL EJERCICIO DE LA FUNCIÓN PÚBLICA DEL SERVICIO NACIONAL DE PESCA. BOLETÍN N°10.482-21 EN PARTICULAR DE AQUELLAS QUE CRIMINALIZAN LA ACTIVIDAD PESQUERA.,1000000
46,Jenny Álvarez Vera,2018,,5757,02 apr 2018,PAULINA GÓMEZ BARBOZA,PROYECTO DE ACUERDO Y OFICIO SOBRE NUEVOS REQUISITOS O EXIGENCIAS PARA LA OBTENCIÓN DEL BENEFICIO DE LIBERTAD CONDICIONAL.,1000000
47,Jenny Álvarez Vera,2018,,,,PAULINA GÓMEZ BARBOZA,ANÁLISIS SOBRE EL CONSEJO GLOBAL PARA LA TOLERANCIA Y LA PAZ.,1000000
48,Pedro Pablo Álvarez-Salamanca Ramírez,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",800000
49,Pedro Pablo Álvarez-Salamanca Ramírez,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,4000000
50,Pedro Pablo Álvarez-Salamanca Ramírez,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA,400000
51,Pedro Pablo Álvarez-Salamanca Ramírez,2019,,6214,09 jan 2019,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",4000000
52,Pedro Pablo Álvarez-Salamanca Ramírez,2018,,,,FUNDACION JAIME GUZMAN,INFORME SOBRE PROYECTO DE LEY QUE AMPLÍA EL PROCEDIMIENTO DE RELOCALIZACIÓN A CONCESIONES DE ACUICULTURA.,700000
53,Pedro Pablo Álvarez-Salamanca Ramírez,2018,,5630,16 mar 2018,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",500000
54,Pedro Pablo Álvarez-Salamanca Ramírez,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
55,Sandra Amar Mancilla,2019,,,,FUNDACION JAIME GUZMAN,INFORME DE POLÍTICAS PÚBLICAS,400000
56,Sandra Amar Mancilla,2019,,6282,15 may 2019,FUNDACION JAIME GUZMAN,INFORME PROYECTO LEY DEL CÁNCER,500000
57,Sandra Amar Mancilla,2018,,,,FUNDACION JAIME GUZMAN,PROYECTOS DE LEY PENDIENTES 2014 - 2018,700000
58,Sandra Amar Mancilla,2018,,5631,16 mar 2018,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""PREPARACIÓN DE OFICIOS Y PRESENTACIONES.",800000
59,Sandra Amar Mancilla,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
60,Sandra Amar Mancilla,2018,,,,FUNDACION JAIME GUZMAN,INFORMES RESUMEN A LA SALA,3000000
61,Gabriel Ascencio Mansilla,2020,,,,GONZALO MIGUEL VALENZUELA OYARZO,"Estudio: Estado actualizado de Comités de Agua Potable Rural en la Región de los Lagos Detalle del número de arranques por comuna, provincia y nivel regional",666666
62,Gabriel Ascencio Mansilla,2019,,,,LEONARDO ANGELO SASSO BARROS,"1.- ASESORÍA PRESENCIAL EN COMISIÓN PESCA, ACUICULTURA E INTERESES MARÍTIMOS DE LA CÁMARA DE DIPUTADOS 2.- COMENTARIOS A LA PROPUESTA DE INDICACIÓN SUSTITUTIVA DEL EJECUTIVO AL PROYECTO REFERIDO A LA REMOCIÓN DE SEDIMENTOS, BOLETÍN N°12050-21 3.- PROPUESTAS DE INDICACIONES A LA MOCIÓN REFERIDA A LA REMOCIÓN DE SEDIMENTOS. BOLETÍN N°12050-21 4.- ADECUACIÓN DEL TEXTO PROPUESTO POR EL SR. SECRETARIO DE LA COMISIÓN DE PESCA DE LA CÁMARA DE DIPUTADOS 5.- COMENTARIOS A LAS INDICACIONES PRESENTADAS POR DIFERENTES DIPUTADOS AL PROYECTO DE LEY REFERIDO A LA REMOCIÓN DE SEDIMENTOS. BOLETÍN N°12050-21 6.- PROPUESTA DE INDICACIONES COMUNES PRESENTADAS POR DIFERENTES DIPUTADOS.",1030000
63,Gabriel Ascencio Mansilla,2019,,6169,08 jan 2019,LEONARDO ANGELO SASSO BARROS,PROPUESTA PARA PRESENTAR PROYECTO ANTE LA COMISIÓN DE PESCA (BOLETÍN N°12012-21)COMENTARIOS Y PROPUESTAS SOBRE INDICACIONES PRESENTADAS EN SALA AL BOLETÍN 11.571-21 INFORME SOBRE NORMATIVA VIGENTE EN MATERIA DE LICITACIONES Y SUBASTAS EN PESCA.,1030000
64,Gabriel Ascencio Mansilla,2018,,,,JUAN CLAUDIO REYES SALDÍAS,"- Apoyo en intervenciones, proyectos de acuerdo y reflexión política - Elaboración de Proyectos de Acuerdo con los tema para relación con el Gobierno y seguimiento para su aprobación",700000
65,Gabriel Ascencio Mansilla,2018,,5661,11 mar 2018,JUAN CLAUDIO REYES SALDÍAS,"APOYO EN INTERVENCIONES, PROYECTOS DE ACUERDO Y REFLEXIÓN POLÍTICA.",1300000
66,Gabriel Ascencio Mansilla,2018,,,,JUAN CLAUDIO REYES SALDÍAS,"APOYO EN INTERVENCIONES, PROYECTOS DE ACUERDO Y REFLEXIÓN POLÍTICA.",1700000
67,Gabriel Ascencio Mansilla,2018,,5745,18 apr 2018,PAOLO FRANCISCO TREJO CARMONA,"ANÁLISIS DE PROYECTO DE LEY DE MODERNIZACIÓN Y FORTALECIMIENTO DEL SERNAPESCA. PROPUESTA DE INDICACIONES, DEBILIDADES Y FORTALEZAS RECOMENDACIONES PARA LA COMISIÓN DE PESCA. ANÁLISIS DE LA ACTUAL LEY DE PESCA: DIAGNÓSTICO, PRINCIPALES REPAROS, RECOMENDACIONES ACERCA DE LAS MODIFICACIONES A DICHA LEY QUE SEAN NECESARIAS",1000000
68,Gabriel Ascencio Mansilla,2018,,,,LEONARDO ANGELO SASSO BARROS,"ASESORÍA PRESENCIAL EN COMISIÓN DE PESCA.PROPUESTA DE CORRECCIONES Y DETERMINAR LOS OBJETIVOS QUE TIENE CADA ARTÍCULO DE LA MOCIÓN PARLAMENTARIA QUE DA INICIO A PROYECTO DE LEY QUE MODIFICA LA LEY GENERAL DE PESCA Y ACUICULTURA, CUYO TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO FUE FIJADO POR D.S N°430, DE 1991, DEL MINISTERIO DE ECONOMÍA, FOMENTO Y RECONSTRUCCIÓN, EN MATERIA DE PROIEDAD DE LOS RECURSOS HIDROBIOLÓGICOS, INCORPORACIÓN DE VARIABLES AMBIENTALES, ECONÓMICAS Y SOCIALES EN ENFOQUE ECO SISTÉMICO PESQUERO, ÁREA DE RESERVA PARA LA PESCA ARTESANAL, REGISTRO ARTESANAL Y OTRAS MATERIAS.MINUTA SOBRE COMENTARIOS A LA INDICACIÓN P.L. BOLETÍN 11.571-21.MINUTA SOBRE PROYECTO DE LEY DE RECOLALIZACIÓN DE CONCESIONES DE MYTILIDOS Y ALGAS.",1000000
69,Gabriel Ascencio Mansilla,2018,,,,LEONARDO ANGELO SASSO BARROS,"1.- Asesoría presencial en comisión pesca, Acuicultura e Intereses Marítimos. 2.- Asesoría presencial en comisión mixta que ve el proyecto de ley de fortalecimiento del Sernapesca. 3.- Elaboración de propuestas de indicaciones sustitutivas al proyecto de ley Boletín 11.571-21 4.- Elaboración de proyecto de Ley con el objeto de exigir la remoción de sedimentos a los titulares de concesiones de acuicultura para el cultivo de especies exóticas (Boletín 12050-21). 5.- Minuta sobre legislación en buceo en la pesca y acuicultura. 6.- Minuta sobre Pesca Ilegal, no declarada y no reglamentada. 7.- Propuesta de indicaciones al proyecto de ley de fortalecimiento del Sernapesca",1000000
70,Gabriel Ascencio Mansilla,2018,,5885,30 may 2018,LEONARDO ANGELO SASSO BARROS,1.- Asesoría presencial en comisión pesca. 2.- Asesoría presencial en comisión mixta que ve el proyecto de ley de fortalecimiento del Sernapesca 3.- informe de análisis y recomendaciones a las indicaciones presentadas a las indicaciones sustitutivas al proyecto de ley boletín 11.571-21 4.- Análisis y recomendaciones como borrador del Ejecutivo por proyecto de ley Boletín 11.571-21 5.- Análisis y recomendaciones respecto a postura de CONFEPACH,1000000
71,Gabriel Ascencio Mansilla,2018,,,,LEONARDO ANGELO SASSO BARROS,- Asesoría presencial en comisión de pesca - Asesoría presencial en comisión mixta por proyecto de fortalecimiento - Informe de recopilación de información sobre residuos (lodos) en la actividad de la salmonicultura en Chile y propuestas de preguntas a invitados a la Comisión - informe de resultados trabajo de la comisión mixta que ve el proyecto de fortalecimiento del Sernapesca,1000000
72,Gabriel Ascencio Mansilla,2018,,5959,22 jun 2018,LEONARDO ANGELO SASSO BARROS,"1. Asesoría Presencial en Comisión Pesca, Acuicultura e Intereses Marítimos de la Cámara de Diputados. 2. Informe sobre aspectos a considerar para el avance en la moción parlamentaria que tiene por objeto la remoción de los sedimentos en el cultivo de especies exóticas 3. Informe sobre reunión con ejecutivo por proyecto de ley referido a la remoción de sedimentos 4. Propuestas de indicaciones a la moción referida a la remoción de sedimentos presentada. 5. Informe que da cuenta de la relación de acuerdos alcanzados en la comisión mixta respecto del proyecto de ley que moderniza y fortalece el ejercicio de la función pública del servicio nacional de pesca y acuicultura",1000000
73,Pepe Auth Stewart,2018,,,,MARCO ZEPEDA RISSO,REDACCIÓN DE INICIATIVAS PARLAMENTARIAS. REDACCIÓN DE INDICACIONES DE PROYECTOS DE LEY. ASESORÍA EN TEMAS LEGISLATIVOS. MINUTAS TÉCNICAS E INFORMACIONES SOBRE PROYECTOS DE LEY. ASESORÍAS SOBRE RELACIONES LABORALES Y GREMIALES. EVALUACIÓN Y ANÁLISIS DE POLÍTICAS PÚBLICAS.,1700000
74,Pepe Auth Stewart,2018,,,,MARCO ZEPEDA RISSO,Redacción de iniciativas parlamentarias Redacción de indicaciones de proyectos de ley Asesorías en temas legislativos Construcción en minutas técnicas e informaciones sobre proyectos de ley Evaluación y análisis de políticas públicas,2000000
75,Nino Baltolu Rasera,2021,,,,FUNDACION JAIME GUZMAN,"ASISTENCIA PRESENCIAL O TELEMÁTICA DE PROFESIONALES DEL ÁREA LEGISLATIVA DE LA FUNDACIÓN A LAS SESIONES DE LAS COMISIONES LEGISLATIVAS PERMANENTES EN QUE PARTICIPEN LOS DIPUTADOS CONTRATANTES, CON EL OBJETO DE ASESORARLOS Y APORTARLES INFORMACIÓN TÉCNICA RELEVANTE, PREPARAR MINUTAS DE ANÁLISIS Y COLABORAR EN LA REDACCIÓN DE INDICACIONES SOBRE LOS PROYECTOS DE LEY DEBATIDOS EN ESAS COMISIONES. ASÍ TAMBIÉN SE PRESTARÁ ASESORÍA TÉCNICA JURÍDICA EN LAS COMISIONES INVESTIGADORAS Y EN LOS REQUERIMIENTOS AL TRIBUNAL CONSTITUCIONAL EN QUE PARTICIPEN O QUE PRESENTEN LOS DIPUTADOS CONTRATANTES. ASIMISMO, SE REALIZARÁN MINUTAS DE CONTINGENCIA PARA EL RESPALDO TÉCNICO DE REPORTAJES EN LA PRENSA NACIONAL. ADICIONALMENTE, SE DISTRIBUIRÁ COPIA DE LOS INFORMES DENOMINADOS “RESUMEN A LA SALA”, QUE DESCRIBEN Y ANALIZAN SUCINTAMENTE LOS PRINCIPALES PROYECTOS DE LEY QUE SEAN PUESTOS EN TABLA PARA SU VOTACIÓN EN LA SALA DE LA CÁMARA, A TODOS LOS DIPUTADOS CONTRATANTES.",6000000
76,Nino Baltolu Rasera,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",1000000
77,Nino Baltolu Rasera,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,5000000
78,Nino Baltolu Rasera,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA.,500000
